"team","group","ovr_elo","off_rtg","def_rtg","team_points","num_wins","goal_diff","goals_for","first_place","second_place","third_place","fourth_place","make_r32","make_r16","make_qf","make_semis","make_final","win_3rd_place","win_final","update_time"
"Uzbekistan","K",1844.83169770594,1.95667578094489,0.604903540840986,2.43026666666667,0.562666666666667,-2.6328,2.11126666666667,0.0480666666666667,0.1484,0.368266666666667,0.435266666666667,0.388866666666667,0.1342,0.04,0.0126,0.00386666666666667,0.00266666666666667,0.0012,"2026-06-11 21:06:50 UTC"
"Portugal","K",2161.17852239868,2.99360188390522,0.420256380760539,5.70373333333333,1.68393333333333,2.27786666666667,5.2086,0.405933333333333,0.383466666666667,0.153466666666667,0.0571333333333333,0.9054,0.577533333333333,0.303333333333333,0.157533333333333,0.0809333333333333,0.0394666666666667,0.0414666666666667,"2026-06-11 21:06:50 UTC"
"Colombia","K",2211.61346676892,3.03465264938313,0.342104745020535,6.182,1.85293333333333,3.02733333333333,5.52073333333333,0.509933333333333,0.334333333333333,0.1142,0.0415333333333333,0.934333333333333,0.637333333333333,0.371066666666667,0.206333333333333,0.1174,0.0504666666666667,0.0612666666666667,"2026-06-11 21:06:50 UTC"
"DR Congo","K",1832.45323367407,1.7543002016241,0.514647442376062,2.29353333333333,0.51,-2.6724,1.808,0.0360666666666667,0.1338,0.364066666666667,0.466066666666667,0.364733333333333,0.127666666666667,0.0378666666666667,0.0116,0.00366666666666667,0.00266666666666667,0.000866666666666667,"2026-06-11 21:06:50 UTC"
"Croatia","L",2053.49941926643,2.67441022723499,0.49548285922499,5.1008,1.48093333333333,1.52533333333333,5.0156,0.293266666666667,0.397333333333333,0.215466666666667,0.0939333333333333,0.849066666666667,0.417533333333333,0.178733333333333,0.0828666666666667,0.0355333333333333,0.0209333333333333,0.0150666666666667,"2026-06-11 21:06:50 UTC"
"England","L",2199.03990395839,2.81211310283367,0.27976768111171,6.4762,1.95546666666667,3.6208,5.8332,0.574466666666667,0.2844,0.1106,0.0305333333333333,0.9514,0.603533333333333,0.333333333333333,0.1884,0.099,0.0502,0.0523333333333333,"2026-06-11 21:06:50 UTC"
"Ghana","L",1739.81261797322,1.90269101822382,0.902362263954075,2.03026666666667,0.477133333333333,-3.4532,2.44253333333333,0.0364666666666667,0.114333333333333,0.294866666666667,0.554333333333333,0.315533333333333,0.0727333333333333,0.0189333333333333,0.00546666666666667,0.00126666666666667,8e-04,0.000266666666666667,"2026-06-11 21:06:50 UTC"
"Panama","L",1859.85609938013,2.36617054010103,0.856950968116265,3.13746666666667,0.8312,-1.69293333333333,3.619,0.0958,0.203933333333333,0.379066666666667,0.3212,0.5418,0.166333333333333,0.0540666666666667,0.0188666666666667,0.00453333333333333,0.0042,0.00153333333333333,"2026-06-11 21:06:50 UTC"
"South Africa","A",1713.53564915957,1.84829822703728,0.952807084758778,2.0412,0.4724,-3.3448,2.38053333333333,0.0384666666666667,0.132466666666667,0.265,0.564066666666667,0.3256,0.0926666666666667,0.0250666666666667,0.00553333333333333,0.001,0.0014,0.000266666666666667,"2026-06-10 22:21:14 UTC"
"South Korea","A",1921.69379925225,2.39114934066975,0.673691575953691,4.0508,1.11533333333333,-0.0836666666666667,4.08053333333333,0.169266666666667,0.3208,0.3184,0.191533333333333,0.713666666666667,0.317733333333333,0.1244,0.0439333333333333,0.0177333333333333,0.0115333333333333,0.00726666666666667,"2026-06-10 22:21:14 UTC"
"Czech Republic","A",1909.10753607472,2.43318489011838,0.74318446166842,3.87993333333333,1.0602,-0.370066666666667,4.05646666666667,0.1538,0.307733333333333,0.322133333333333,0.216333333333333,0.687266666666667,0.305933333333333,0.111133333333333,0.0368,0.012,0.00926666666666667,0.0044,"2026-06-10 22:21:14 UTC"
"Mexico","A",2071.50753900978,2.41022379797897,0.334286055000111,6.6994,2.0234,3.79853333333333,5.59326666666667,0.638466666666667,0.239,0.0944666666666667,0.0280666666666667,0.9588,0.627,0.343133333333333,0.151333333333333,0.0646,0.0375333333333333,0.0282,"2026-06-10 22:21:14 UTC"
